Game Date,Location,Divisional Game,Playoff Game,Matchup,Home Team,Home Elo,Home Pts,Away Team,Away Elo,Away Pts,Home W,Home Pt Diff
2022-10-02,@ DAL,1,0,WAS vs. DAL,DAL,1562.1287919369765,25,WAS,1451.8357936304756,10,1,15
2022-10-09,@ LAR,0,0,DAL vs. LAR,LAR,1487.5987293294957,10,DAL,1596.7688787064412,22,0,-12
2022-10-16,@ PHI,1,0,DAL vs. PHI,PHI,1699.763916711395,26,DAL,1631.5554518863628,17,1,9
2022-10-23,@ DAL,0,0,DET vs. DAL,DAL,1591.2472458826064,24,DET,1359.591942476493,6,1,18
2022-11-13,@ GNB,0,0,DAL vs. GNB,GNB,1358.239547752622,31,DAL,1640.316598034364,28,1,3
2022-11-20,@ MIN,0,0,DAL vs. MIN,MIN,1748.9832631045313,3,DAL,1556.7852123946711,40,0,-37
2022-11-24,@ DAL,1,0,NYG vs. DAL,DAL,1500.0,28,NYG,1585.9935000197115,20,1,8
2022-12-04,@ DAL,0,0,IND vs. DAL,DAL,1671.072753986742,54,IND,1362.8358642163637,19,1,35
2022-12-11,@ DAL,0,0,HOU vs. DAL,DAL,1685.5729220700775,27,HOU,1248.7163709761219,23,1,4
2022-12-18,@ JAX,0,0,DAL vs. JAX,JAX,1469.6581390136266,40,DAL,1693.0559925089487,34,1,6
2022-12-24,@ DAL,1,0,PHI vs. DAL,DAL,1631.5554518863628,40,PHI,1699.763916711395,34,1,6
2022-12-29,@ TEN,0,0,DAL vs. TEN,TEN,1349.8257815015268,13,DAL,1685.4399707053185,27,0,-14
2023-01-08,@ WAS,1,0,DAL vs. WAS,WAS,1451.8357936304756,26,DAL,1562.1287919369765,6,1,20
2023-01-16,@ TAM,0,1,DAL vs. TAM,TAM,1500.0,14,DAL,1500.0,31,0,-17
